Epoch,Loss
1,8.714902003606161
2,7.906156301498413
3,7.630703171094258
4,7.5367939074834185
5,7.4331744114557905
6,7.247334241867065
7,7.179665009180705
8,7.047447443008423
9,6.926774263381958
10,6.789222876230876
11,6.6803315083185835
12,6.607848445574443
13,6.486061533292134
14,6.392478346824646
15,6.280121326446533
16,6.23012371857961
17,6.120638569196065
18,6.012250026067098
19,5.945576786994934
20,5.860574007034302
21,5.751290202140808
22,5.675035834312439
23,5.542094588279724
24,5.465590755144755
25,5.404804944992065
26,5.314660986264546
27,5.271932005882263
28,5.174683173497518
29,5.109378019968669
30,5.035707751909892
31,4.95256753762563
32,4.868740479151408
33,4.804616451263428
34,4.723160823186238
35,4.688917398452759
36,4.608999013900757
37,4.5487998723983765
38,4.490508516629537
39,4.426225145657857
40,4.425664941469829
41,4.326624155044556
42,4.323240319887797
43,4.24869038661321
44,4.174136579036713
45,4.108644803365071
46,4.07543687025706
47,4.037213643391927
48,3.9688270489374795
49,3.926397979259491
50,3.883173624674479
51,3.8413397471110025
52,3.814673662185669
53,3.734917720158895
54,3.706610997517904
55,3.666876216729482
56,3.640342434247335
57,3.6140058636665344
58,3.5886954069137573
59,3.4905943473180137
60,3.5208489894866943
61,3.444729765256246
62,3.4508482217788696
63,3.3865419228871665
64,3.3593639532725015
65,3.2604629397392273
66,3.2902531822522483
67,3.2508752942085266
68,3.1692402362823486
69,3.1734071175257363
70,3.1018067797025046
71,3.0986312429110208
72,3.0706258416175842
73,3.058546523253123
74,3.0148290395736694
75,3.0004441936810813
76,2.9958090782165527
77,2.922988474369049
78,2.9083330432573953
79,2.8870784441630044
80,2.9117312828699746
81,2.8480780323346457
82,2.793068607648214
83,2.7716969648996987
84,2.758963167667389
85,2.748901148637136
86,2.706746677557627
87,2.7086474498113
88,2.6865516702334085
89,2.679187456766764
90,2.624565581480662
91,2.615786155064901
92,2.580636819203695
93,2.592883825302124
94,2.5930436849594116
95,2.5429247419039407
96,2.4953298568725586
97,2.4698749581972756
98,2.4519184629122415
99,2.455843687057495
100,2.4398001035054526
101,2.4395676255226135
102,2.4385728438695273
103,2.3731234669685364
104,2.3945268591245017
105,2.336005210876465
106,2.334198256333669
107,2.301760276158651
108,2.2816914717356362
109,2.2875136335690818
110,2.28816819190979
111,2.283581882715225
112,2.221167584260305
113,2.2001479864120483
114,2.181503395239512
115,2.1976010302702584
116,2.177596628665924
117,2.126226097345352
118,2.1028535068035126
119,2.1190363466739655
120,2.1158798237641654
121,2.108259548743566
122,2.076517701148987
123,2.068725456794103
124,2.0579081177711487
125,2.060370703538259
126,2.0395654439926147
127,2.009049375851949
128,2.0241452753543854
129,1.9777177075544994
130,1.9719638327757518
131,1.967790573835373
132,1.9488024512926738
133,1.9766285022099812
134,1.9501460591952007
135,1.9371592899163563
136,1.9480877021948497
137,1.8783156474431355
138,1.9074535270531972
139,1.8568429946899414
140,1.8510122895240784
141,1.8434730172157288
142,1.8754432300726573
143,1.8355962534745534
144,1.8052402933438618
145,1.7614384988943736
146,1.8047787249088287
147,1.7531294425328572
148,1.7796947260697682
149,1.7705252667268117
150,1.7576785782972972
