Epoch,Loss,Accuracy
1,0.3496720387089637,94.83282674772036
2,0.35132010780545253,94.02228976697062
3,0.32944392635216635,94.98480243161094
4,0.46485839682000296,93.41438703140831
5,0.3190772908349191,95.23809523809524
6,0.329944881460359,96.45390070921985
7,0.26517987939258736,90.27355623100304
8,0.26222393588132914,95.6433637284701
9,0.244755313641602,95.8966565349544
10,0.20107861998821458,96.04863221884499
11,0.2979987902086108,95.99797365754813
12,0.22077728780887781,96.60587639311044
13,0.25526708535729875,94.73150962512665
14,0.23714636046920093,92.65450861195542
15,0.32719833940087306,93.36372847011145
16,0.30805145636681586,95.84599797365755
17,0.29137324188805874,96.25126646403243
18,0.342314998874621,95.0354609929078
19,0.3094276903016913,90.88145896656535
20,0.2700855326688578,96.403242147923
21,0.2457215680530475,93.46504559270517
22,0.2496218317518792,96.1499493414387
23,0.2121897376172485,95.8966565349544
24,0.16677035897549602,97.16312056737588
25,0.2651681381187612,95.13677811550151
26,0.23686236197188978,96.20060790273556
27,0.20225651505132836,96.80851063829788
28,0.19404607291723933,95.99797365754813
29,0.21161639215725084,96.25126646403243
30,0.2545809914327918,96.1499493414387
31,0.21521715247522918,96.1499493414387
32,0.21217147323993907,96.09929078014184
33,0.2181029032254892,96.35258358662614
34,0.20797770811365016,96.70719351570415
35,0.22625888119481743,94.4275582573455
36,0.1994464070566239,95.8966565349544
37,0.2567582873387202,96.45390070921985
38,0.2112451940474491,95.6433637284701
39,0.2228491044783544,95.84599797365755
40,0.310283740021048,93.31306990881458
41,0.2200993009872975,96.1499493414387
42,0.18723391344951046,97.06180344478217
43,0.2694832379178655,97.06180344478217
44,0.25592490704730153,97.21377912867274
45,0.24944824445992708,95.39007092198581
46,0.20049480712341686,96.09929078014184
47,0.1966350739521365,96.60587639311044
48,0.1869293687594754,94.98480243161094
49,0.22845088597387075,86.62613981762918
50,0.24486957355252198,94.52887537993921
