Epoch,Loss
1,108735.52532327586
2,82109.37351831897
3,65734.8141163793
4,56190.00592672414
5,50527.863146551725
6,43701.245959051725
7,38599.56546336207
8,34931.50330010776
9,30181.65598060345
10,28427.284415409482
11,25207.92807112069
12,24215.044315732757
13,21010.318191002156
14,21084.583580280174
15,18557.612237338362
16,17075.136483028018
17,15897.754411368534
18,14447.418978987069
19,15141.105704471982
20,13864.513974946121
21,12974.10678205819
22,11979.453091325431
23,11916.504478717672
24,11071.604391163793
25,10253.507576778018
26,10008.683492726293
27,9451.561826508621
28,8655.366379310344
29,8312.567466998922
30,7945.789466594828
31,8067.850451239224
32,7415.619847790948
33,7035.952569369612
34,6564.607640759698
35,6348.977320177802
36,6455.215853987069
37,5799.284146012931
38,5532.261188375539
39,5538.062567349138
40,5022.65771484375
41,4969.476545662716
42,4628.300671807651
43,4569.5355014143315
44,4551.351528825431
45,4195.060555293642
46,4005.7772679822197
47,3694.1511735587283
48,3938.3712200296336
49,3701.869864628233
50,3560.890616581358
51,3413.842049434267
52,3136.5953663793102
53,3270.2102303340516
54,3145.291301858836
55,2998.5013385641164
56,2769.961383688039
57,2834.443325700431
58,2542.9983499461205
59,2530.055285223599
60,2481.787732354526
61,2301.20455195986
62,2379.2439259496227
63,2262.5508359711744
64,2301.688135607489
65,2090.5494721511313
66,2048.8058576912717
67,2116.116004680765
68,2001.8839574353449
69,1977.1916672279094
70,1859.3700287917566
71,1697.9654204269934
72,1846.268697804418
73,1715.6303163725754
74,1615.0519093480602
75,1727.968821558459
76,1481.829450936153
77,1498.547047582166
78,1535.9617835735453
79,1535.1890237742457
80,1388.9173983869882
81,1258.1185597386852
82,1351.9767182448816
83,1291.4623286806304
84,1277.6517523403825
85,1286.0919147359914
86,1150.868551320043
87,1198.691383098734
88,1185.4273239661907
89,1091.7070228313578
90,1094.3242019127156
91,996.7187605233028
92,1075.962225552263
93,1133.5258157664332
94,981.6133717504041
95,989.863037109375
96,892.0640216695851
97,948.9989571406924
98,870.5022856613685
99,897.6071861530172
100,930.5340007913524
101,848.039036191743
102,792.7287513469828
103,910.404019059806
104,854.1538864661908
105,827.5664935934133
106,727.1177052464978
107,722.0018973514951
108,741.8513941271551
109,704.7603496683055
110,762.1803683576912
111,744.4922253838901
112,692.1493730216191
113,702.6087877997037
114,633.8469974912446
115,678.5952369426859
116,648.1461970888336
117,685.5519104003906
118,610.5658158927129
119,585.7758357607086
120,576.8128714725889
121,568.8191738786369
122,538.3596833327721
123,574.3775824185076
124,553.5060929923222
125,589.3992719979121
126,573.5247644884832
127,559.5681983684672
128,559.9639029667295
129,502.47839671167833
130,506.92493307179416
131,480.50620033001076
132,454.9685521619073
133,497.8458199336611
134,488.2198538944639
135,478.9686289820178
136,460.76575443662443
137,455.41261554586475
138,420.67716769514413
139,445.68182899212013
140,442.2054916908001
141,465.86244569975753
142,425.3137670056573
143,417.5521345467403
144,437.03117896770607
145,404.1976739291487
146,392.94853315682246
147,395.2004036738955
148,399.1026206180967
149,358.64382566254716
150,413.6791055613551
