Epoch,Loss,Accuracy
1,1.7798697567114266,48.93079643037549
2,1.4403654359361178,69.41404276814278
3,1.2200273078295492,72.78161306617275
4,1.0623621570487176,77.66458999831622
5,0.9473788827978155,80.89745748442499
6,0.863012120448133,81.22579558848291
7,0.7919506760694648,84.20609530223943
8,0.7377903580024678,85.67098838188247
9,0.6924705972434372,85.41000168378515
10,0.6528261697260282,85.2921367233541
11,0.6188802887355128,87.6746927092103
12,0.5927325300471757,88.20508503115002
13,0.5694349772667372,87.977774036033
14,0.5479869377068294,88.9543694224617
15,0.5206717163003901,88.5839366896784
16,0.5114508561229193,89.71207273951843
17,0.48738961081991916,89.2237750463041
18,0.4804292134540055,89.70365381377336
19,0.4672059592220091,90.18353258124263
20,0.44962668478969603,89.98989728910591
21,0.4395257616315478,90.52028961104563
22,0.42935792052297184,89.69523488802828
23,0.42221763361525794,90.51187068530055
24,0.41328047280029584,90.87388449233877
25,0.40577426937318617,90.78969523488803
26,0.39965897910697484,91.10961441320087
27,0.3888032653479166,91.38743896278835
28,0.3885008522900202,91.17696581916148
29,0.3773903327603494,91.34534433406297
30,0.37128122879933284,91.38743896278835
31,0.36770421611044996,91.6400067351406
32,0.36265201902677935,91.73261491833642
33,0.35756959950411193,91.93466913621822
34,0.35101398921781973,91.30324970533759
35,0.356502158867736,91.75787169557165
36,0.3429374832619903,91.32008755682774
37,0.35239970587914987,91.83364202727732
38,0.3370316748417193,91.85047987876747
39,0.3384826717677937,91.41269574002358
40,0.33243776649557133,91.8757366560027
41,0.33077458909121893,92.27984509176629
42,0.3177245236452549,92.15356120559017
43,0.3269166589904857,92.23775046304091
44,0.31220326352343764,92.46506145815793
45,0.3114472047015223,92.18723690857047
46,0.32018093540463394,92.52399393837347
47,0.31473143595040487,93.29853510692035
48,0.3091834905527292,92.11988550260986
49,0.3132343327486387,92.93652129988213
50,0.30786380760612025,92.88600774541169
51,0.30435919044639476,92.33035864623675
52,0.3063384643805924,92.61660212156929
53,0.29527438407944095,92.96177807711736
54,0.29846948907980997,92.45664253241286
55,0.29805300244560806,93.01229163158781
56,0.2978172546793376,92.71762923051018
57,0.2916529765452749,92.86075096817646
58,0.2915988071991872,92.99545378009766
59,0.2937561010801664,92.75130493349049
60,0.287640131869784,92.86075096817646
61,0.2877159420280687,93.16383229499915
62,0.28841899976294527,93.15541336925408
63,0.2839360876028897,93.34904866139081
64,0.28115792506404463,93.40798114160633
65,0.27760321871247345,93.07964303754841
66,0.27978724317364795,93.13015659201886
67,0.28626891608119653,93.1806701464893
68,0.2846172326594912,92.70921030476511
69,0.28373220709142505,92.9449402256272
70,0.27708483541444423,93.47533254756694
71,0.27490651931974197,93.30695403266543
72,0.2765613157222027,92.56608856709884
73,0.28245914481099577,93.34904866139081
74,0.27390564659670474,93.44165684458663
75,0.2748179469578048,93.50058932480215
76,0.27961369908304623,93.33221080990066
77,0.27002354939618417,93.6184542852332
78,0.2741947652351472,93.32379188415558
79,0.26598830513095345,93.5174271762923
