Epoch,Loss,Accuracy
1,3790.95461937689,0.12563323201621074
2,965.9704671982796,0.1403242147922999
3,544.5986465331047,0.2132725430597771
4,330.866536817243,0.26038500506585616
5,258.9007916565864,0.303951367781155
6,192.6059389498926,0.3505572441742654
7,150.26530456861343,0.3774062816616008
8,116.27000296483675,0.42249240121580545
9,101.39255095215167,0.40526849037487334
10,101.1668853557879,0.4133738601823708
