Epoch,Loss
1,9.296635945638021
2,9.294672648111979
3,9.271124839782715
4,9.239593823750814
5,9.196099917093912
6,9.14791170756022
7,9.094545364379883
8,9.045429229736328
9,8.978058179219564
10,8.914286295572916
11,8.849854469299316
12,8.803540547688803
13,8.742931365966797
14,8.67672030131022
15,8.61689535776774
16,8.545488993326822
17,8.474081675211588
18,8.425954500834147
19,8.34360376993815
20,8.276247024536133
21,8.197710037231445
22,8.125768979390463
23,8.060553868611654
24,7.981948216756185
25,7.9437103271484375
26,7.864853064219157
27,7.806629339853923
28,7.7699910799662275
29,7.68637482325236
30,7.648338635762532
31,7.570693492889404
32,7.557386716206868
33,7.509897232055664
34,7.538638750712077
35,7.452755610148112
36,7.445029417673747
37,7.420239289601644
38,7.4176255861918134
39,7.36224905649821
40,7.334705988566081
41,7.270994663238525
42,7.239904085795085
43,7.235991319020589
44,7.184309959411621
45,7.166649500528972
46,7.108150323232015
47,7.081437746683757
48,7.093093077341716
49,7.050907929738362
50,7.030593077341716
51,7.017504692077637
52,6.974813779195149
53,6.966952641805013
54,6.9086995124816895
55,6.905446847279866
56,6.8500542640686035
57,6.865148385365804
58,6.850301901499431
59,6.79353141784668
60,6.737724622090657
61,6.709006627400716
62,6.662812232971191
63,6.630662759145101
64,6.599402109781901
65,6.628861904144287
66,6.5884725252787275
67,6.522222518920898
68,6.512964089711507
69,6.451309045155843
70,6.410381158192952
71,6.389681975046794
72,6.33525546391805
73,6.326944033304851
74,6.257313887278239
75,6.24076509475708
76,6.22655455271403
77,6.116778373718262
78,6.077207088470459
79,6.061597983042399
80,6.004634380340576
81,5.959321180979411
82,5.922224839528401
83,5.8801500002543134
84,5.810728549957275
85,5.749293804168701
86,5.7717610994974775
87,5.729122638702393
88,5.709176699320476
89,5.637107531229655
90,5.590342044830322
91,5.552053451538086
92,5.507045745849609
93,5.468878587086995
94,5.361039161682129
95,5.3568488756815595
96,5.261305014292399
97,5.296748638153076
98,5.246449947357178
99,5.209203561147054
100,5.217368284861247
101,5.123112678527832
102,5.067802429199219
103,5.044191201527913
104,5.012375036875407
105,4.959425608317058
106,4.9273678461710615
107,4.8538126945495605
108,4.9038089116414385
109,4.792469501495361
110,4.821518262227376
111,4.697384516398112
112,4.737460454305013
113,4.596951166788737
114,4.574563185373942
115,4.593264102935791
116,4.554269154866536
117,4.482450803120931
118,4.489702860514323
119,4.430514971415202
120,4.388993899027507
121,4.395577907562256
122,4.314781665802002
123,4.24450143178304
124,4.240368684132894
125,4.222806294759114
126,4.162818590799968
127,4.161413351694743
128,4.135443369547526
129,4.079108556111653
130,4.067883173624675
131,4.009991566340129
132,4.003466288248698
133,3.9647979736328125
134,3.9613399505615234
135,3.8700952529907227
136,3.883939504623413
137,3.8730241457621255
138,3.809243122736613
139,3.765633980433146
140,3.729434092839559
141,3.693901300430298
142,3.7017629146575928
143,3.686795155207316
144,3.6695064703623452
145,3.6114630699157715
146,3.6068266232808432
147,3.566338300704956
148,3.5594587326049805
149,3.541175683339437
150,3.460932731628418
